Sr. No.,Company Name,Job Title,Salaries Reported,Location,Salary,Average Salary,Weighted Average Salary,Median Salary,Level,Years of Exp
315,The Goddard School,Data Scientist,1,Bangalore,30000,94202,89165,69237,Junior,1-6
316,Volvo Group,Data Scientist,1,Bangalore,120000,94218,89167,69240,Mid,7-14
317,HP Inc.,Data Scientist,1,Bangalore,55484,94211,89166,69237,Junior,1-6
318,Exalca Technologies,Data Scientist,1,Bangalore,35327,94221,89167,69240,Junior,1-6
319,Shenzyn,Data Scientist,1,Bangalore,58879,94236,89169,69242,Junior,1-6
320,Happay,Data Scientist,1,Bangalore,550104,94245,89170,69248,Senior,15-25
321,Panasonic,Data Scientist,1,Bangalore,192464,94131,89155,69242,Mid,7-14
322,Spottabl,Data Scientist,1,Bangalore,32116,94107,89151,69240,Junior,1-6
323,NightLight Pediatric Urgent Care,Data Scientist,1,Bangalore,66000,94122,89153,69242,Junior,1-6
324,Ankit R Jain & Associates,Data Scientist,1,Bangalore,60000,94129,89154,69248,Junior,1-6
325,subodh singh,Data Scientist,1,Bangalore,120391,94138,89155,69253,Mid,7-14
326,Trinity Mobility,Data Scientist,1,Bangalore,63674,94131,89154,69248,Junior,1-6
327,CronLabs Solutions,Data Scientist,1,Bangalore,37022,94139,89155,69253,Junior,1-6
328,SOTI,Data Scientist,1,Bangalore,70342,94153,89156,69300,Junior,1-6
329,CoRover,Data Scientist,1,Bangalore,199922,94159,89157,69253,Mid,7-14
330,iOPEX Technologies,Data Scientist,1,Bangalore,75000,94132,89153,69248,Junior,1-6
331,Alfonso & Associates Consulting,Data Scientist,1,Bangalore,353064,94137,89154,69242,Mid,15-25
332,iQuanti,Data Scientist,1,Bangalore,36176,94073,89144,69240,Junior,1-6
333,EdgeVerve Systems,Data Scientist,1,Bangalore,114890,94087,89146,69242,Mid,7-14
334,Cimpress,Data Scientist,1,Bangalore,50244,94082,89145,69240,Junior,1-6
335,Affle,Data Scientist,1,Bangalore,93328,94093,89147,69242,Junior,1-6
336,Qualcomm,Data Scientist,1,Bangalore,154156,94093,89147,69240,Mid,7-14
337,Monty Telecom Development,Data Scientist,1,Bangalore,68349,94078,89144,69237,Junior,1-6
338,Philips Lighting,Data Scientist,1,Bangalore,102322,94084,89145,69240,Mid,7-14
339,PwC,Data Scientist,1,Bangalore,200000,94082,89144,69237,Mid,7-14
340,Vervenest,Data Scientist,1,Bangalore,34110,94056,89140,69211,Junior,1-6
341,Avail Finance,Data Scientist,1,Bangalore,45000,94071,89142,69237,Junior,1-6
342,YDI Solutions,Data Scientist,1,Bangalore,36641,94083,89144,69240,Junior,1-6
343,AIEnterprise,Data Scientist,1,Bangalore,71252,94098,89146,69242,Junior,1-6
344,GE Power,Data Scientist,1,Bangalore,126935,94103,89147,69240,Mid,7-14
345,GLOBALFOUNDRIES,Data Scientist,1,Bangalore,90294,94095,89145,69237,Junior,1-6
346,Applied Data Finance,Data Scientist,1,Bangalore,49566,94096,89145,69211,Junior,1-6
347,Ramus Musik,Data Scientist,1,Bangalore,80000,94107,89147,69237,Junior,1-6
348,Trendwise Analytics,Data Scientist,1,Bangalore,48101,94111,89147,69211,Junior,1-6
349,Anonymous,Data Scientist,1,Bangalore,107053,94122,89149,69237,Mid,7-14
350,DocOn Technologies,Data Scientist,1,Bangalore,214107,94119,89148,69211,Mid,7-14
351,HackerEarth,Data Scientist,1,Bangalore,168822,94089,89143,69184,Mid,7-14
352,Quadrant 4 Systems,Data Scientist,1,Bangalore,102647,94070,89140,69138,Mid,7-14
353,MARS WEB Solution,Data Scientist,1,Bangalore,103178,94068,89140,69092,Mid,7-14
354,Verizon,Data Scientist,1,Bangalore,100489,94066,89139,69065,Mid,7-14
355,LivNSense,Data Scientist,1,Bangalore,41099,94064,89139,69038,Junior,1-6
356,Inflexion Analytics,Data Scientist,1,Bangalore,60195,94077,89141,69065,Junior,1-6
357,Arcadix,Data Scientist,1,Bangalore,63467,94086,89142,69092,Junior,1-6
358,Algebra Software Analytics,Data Scientist,1,Bangalore,107894,94094,89143,69138,Mid,7-14
359,Vedantu,Data Scientist,1,Bangalore,70000,94090,89142,69092,Junior,1-6
360,Automation Anywhere,Data Scientist,1,Bangalore,320000,94096,89143,69065,Mid,15-25
361,yellow.ai,Data Scientist,1,Bangalore,41099,94039,89134,69038,Junior,1-6
362,IBM Interactive Experience,Data Scientist,1,Bangalore,80391,94053,89136,69065,Junior,1-6
363,TEKsystems,Data Scientist,1,Bangalore,113496,94056,89136,69038,Mid,7-14
364,Accenture,Data Scientist,1,Bangalore,244273,94051,89135,69037,Mid,7-14
365,Nucleus Software Exports,Data Scientist,1,Bangalore,30696,94013,89129,69035,Junior,1-6
366,Genesis Group Software Developers,Data Scientist,1,Bangalore,40774,94029,89131,69037,Junior,1-6
367,PokerStars,Data Scientist,1,Bangalore,30880,94043,89133,69038,Junior,1-6
368,PwC,Data Scientist,1,Bangalore,267634,94059,89135,69065,Mid,7-14
369,The Self Employed Association,Data Scientist,1,Bangalore,34278,94015,89128,69038,Junior,1-6
370,AJIO,Data Scientist,1,Bangalore,48000,94030,89131,69065,Junior,1-6
371,PwC,Data Scientist,1,Bangalore,30000,94042,89132,69092,Junior,1-6
372,Bounce,Data Scientist,1,Bangalore,165582,94058,89135,69138,Mid,7-14
373,Goldman Sachs,Data Scientist,1,Bangalore,146564,94040,89131,69092,Mid,7-14
374,Algo8.ai,Data Scientist,1,Bangalore,40656,94026,89129,69065,Junior,1-6
375,Saisree Engineers,Data Scientist,1,Bangalore,45000,94040,89131,69092,Junior,1-6
376,Xenon Automotive,Data Scientist,1,Bangalore,42508,94052,89133,69138,Junior,1-6
377,Wipro,Data Scientist,1,Bangalore,30794,94065,89135,69184,Junior,1-6
378,ALTEN,Data Scientist,1,Bangalore,146160,94081,89137,69211,Mid,7-14
379,Diverse Lynx,Data Scientist,1,Bangalore,110265,94068,89135,69184,Mid,7-14
380,Hyperthink Systems,Data Scientist,1,Bangalore,100326,94064,89134,69138,Mid,7-14
381,TBM Technologies Pvt,Data Scientist,1,Bangalore,50244,94062,89134,69092,Junior,1-6
382,Red Hat,Data Scientist,1,Bangalore,99071,94074,89135,69138,Junior,1-6
383,Adobe,Data Scientist,1,Bangalore,121677,94072,89135,69092,Mid,7-14
384,Altimetrik,Data Scientist,1,Bangalore,54645,94065,89133,69065,Junior,1-6
385,Informatica,Data Scientist,1,Bangalore,74233,94075,89135,69092,Junior,1-6
386,Falabella,Data Scientist,1,Bangalore,160521,94080,89135,69065,Mid,7-14
387,Toastmasters International,Data Scientist,1,Bangalore,81858,94063,89132,69038,Junior,1-6
388,KYC Hub,Data Scientist,1,Bangalore,40279,94067,89133,69037,Junior,1-6
389,National Institute of Technology Karnataka,Data Scientist,1,Bangalore,51460,94080,89135,69038,Junior,1-6
390,Texas Instruments,Data Scientist,1,Bangalore,117688,94091,89136,69065,Mid,7-14
391,Blackstraw,Data Scientist,1,Bangalore,100000,94085,89135,69038,Mid,7-14
392,G2,Data Scientist,1,Bangalore,160580,94083,89135,69037,Mid,7-14
393,EdGe Networks,Data Scientist,1,Bangalore,173205,94067,89132,69035,Mid,7-14
394,Ultramatics,Data Scientist,1,Bangalore,31410,94047,89128,69024,Junior,1-6
395,MResult Services,Data Scientist,1,Bangalore,56237,94062,89131,69035,Junior,1-6
396,Vumonic Technologies,Data Scientist,1,Bangalore,43123,94072,89132,69037,Junior,1-6
397,Dexler Information Solutions,Data Scientist,1,Bangalore,168711,94085,89134,69038,Mid,7-14
398,SenSight Technologies,Data Scientist,1,Bangalore,35985,94066,89131,69037,Junior,1-6
399,Fractal Systems,Data Scientist,1,Bangalore,214107,94081,89133,69038,Mid,7-14
400,Grofers,Data Scientist,1,Bangalore,155809,94050,89127,69037,Mid,7-14
401,Utopia,Data Scientist,1,Bangalore,105153,94035,89125,69035,Mid,7-14
402,Simple Lecture,Data Scientist,1,Bangalore,50244,94032,89124,69024,Junior,1-6
403,Yes Bank,Data Scientist,1,Bangalore,61958,94043,89126,69035,Junior,1-6
404,Yes Bank,Data Scientist,1,Bangalore,120588,94051,89127,69037,Mid,7-14
405,TAG Solutions,Data Scientist,1,Bangalore,146216,94044,89125,69035,Mid,7-14
406,Tesla,Data Scientist,1,Bangalore,157463,94031,89123,69024,Mid,7-14
407,UnitedHealth Group,Data Scientist,1,Bangalore,32508,94015,89120,69013,Junior,1-6
408,Bestintown Analytics,Data Scientist,1,Bangalore,48000,94031,89122,69024,Junior,1-6
409,Salim Group,Data Scientist,1,Bangalore,40000,94042,89124,69035,Junior,1-6
410,BRIDGEi2i,Data Scientist,1,Bangalore,130636,94056,89126,69037,Mid,7-14
411,Defence Research & Development Organisation,Data Scientist,1,Bangalore,47518,94047,89125,69035,Junior,1-6
412,dataZen Engineering,Data Scientist,1,Bangalore,48417,94059,89126,69037,Junior,1-6
413,UnitedHealthCare,Data Scientist,1,Bangalore,82542,94070,89128,69038,Junior,1-6
414,SelotSoft,Data Scientist,1,Bangalore,197213,94073,89128,69037,Mid,7-14
415,T-Mobile,Data Scientist,1,Bangalore,102322,94047,89124,69035,Mid,7-14
416,ICICI Bank,Data Scientist,1,Bangalore,170825,94045,89123,69024,Mid,7-14
417,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,1,Bangalore,69790,94025,89119,69013,Junior,1-6
418,Stayzilla,Data Scientist,1,Bangalore,146564,94031,89120,68971,Mid,7-14
419,BITS Pilani,Data Scientist,1,Bangalore,574201,94018,89118,68929,Senior,15-25
420,Hashworks,Data Scientist,1,Bangalore,161220,93895,89096,68882,Mid,7-14
421,Noodle.ai,Data Scientist,1,Bangalore,32115,93878,89093,68834,Junior,1-6
422,Citicorp Services India,Data Scientist,1,Bangalore,108337,93894,89095,68882,Mid,7-14
423,Persistent Networks,Data Scientist,1,Bangalore,54860,93890,89094,68834,Junior,1-6
424,Atkins,Data Scientist,1,Bangalore,160000,93900,89096,68882,Mid,7-14
425,Techstar Consulting,Data Scientist,1,Bangalore,103178,93883,89093,68834,Mid,7-14
426,Nhai,Data Scientist,1,Bangalore,98229,93881,89092,68829,Junior,1-6
427,The Data Team,Data Scientist,1,Bangalore,64621,93880,89092,68823,Junior,1-6
428,Decision Minds,Data Scientist,1,Bangalore,182265,93887,89093,68829,Mid,7-14
429,SeedOlabs,Data Scientist,1,Bangalore,49883,93865,89089,68823,Junior,1-6
430,Symphony Teleca,Data Scientist,1,Bangalore,85247,93876,89090,68829,Junior,1-6
431,Artigiani,Data Scientist,1,Bangalore,71625,93878,89091,68823,Junior,1-6
432,PSG College of Technology,Data Scientist,1,Bangalore,123813,93884,89091,68774,Mid,7-14
433,Opia Labs,Data Scientist,1,Bangalore,210684,93876,89090,68725,Mid,7-14
434,Midcoast Regional Redevelopment Authority,Data Scientist,1,Bangalore,61906,93846,89084,68723,Junior,1-6
435,Datamatics Global Services,Data Scientist,1,Bangalore,33742,93855,89085,68725,Junior,1-6
436,Customer Centria,Data Scientist,1,Bangalore,44427,93870,89088,68774,Junior,1-6
437,Raju Tech,Data Scientist,1,Bangalore,60000,93883,89090,68823,Junior,1-6
438,Adecco,Data Scientist,1,Bangalore,134968,93891,89091,68829,Mid,7-14
439,Rplus Analytics,Data Scientist,1,Bangalore,380804,93881,89089,68823,Mid,15-25
440,ExperienceFlow,Data Scientist,1,Bangalore,71100,93807,89075,68774,Junior,1-6
441,Kubric,Data Scientist,1,Bangalore,183205,93813,89076,68725,Mid,7-14
442,Praktice Ai,Data Scientist,1,Bangalore,39009,93790,89072,68723,Junior,1-6
443,BitLogic Software,Data Scientist,1,Bangalore,40000,93804,89074,68725,Junior,1-6
444,Yottaasys,Data Scientist,1,Bangalore,147214,93818,89077,68774,Mid,7-14
445,Nxtra Data,Data Scientist,1,Bangalore,44117,93804,89074,68725,Junior,1-6
446,Instamojo,Data Scientist,1,Bangalore,380804,93817,89076,68774,Mid,15-25
447,TheMathCompany,Data Scientist,1,Bangalore,144478,93743,89062,68725,Mid,7-14
448,IQLECT,Data Scientist,1,Bangalore,53328,93730,89059,68723,Junior,1-6
449,The Teaching Company,Data Scientist,1,Bangalore,64336,93741,89061,68725,Junior,1-6
450,qwerty12,Data Scientist,1,Bangalore,122041,93748,89062,68774,Mid,7-14
451,Institute of Engineering & Management,Data Scientist,1,Bangalore,170832,93741,89061,68725,Mid,7-14
452,National Centre for Biological Sciences,Data Scientist,1,Bangalore,42576,93721,89057,68723,Junior,1-6
453,Vsoft,Data Scientist,1,Bangalore,46430,93734,89059,68725,Junior,1-6
454,Symbiosis Institute of Computer Studies and Research,Data Scientist,1,Bangalore,50000,93746,89061,68774,Junior,1-6
455,TheMathCompany,Data Scientist,1,Bangalore,57885,93758,89063,68823,Junior,1-6
456,Alackrity Consols,Data Scientist,1,Bangalore,40442,93767,89064,68829,Junior,1-6
457,Neudesic,Data Scientist,1,Bangalore,99180,93781,89067,68834,Junior,1-6
458,Ravid & Associates,Data Scientist,1,Bangalore,90000,93779,89066,68829,Junior,1-6
459,Flip Robo,Data Scientist,1,Bangalore,34558,93780,89066,68823,Junior,1-6
460,DONE by NONE,Data Scientist,1,Bangalore,61906,93796,89069,68829,Junior,1-6
461,KPMG,Data Scientist,1,Bangalore,53095,93804,89070,68834,Junior,1-6
462,SPS Commerce,Data Scientist,1,Bangalore,36000,93814,89072,68882,Junior,1-6
463,Mad Street Den Systems,Data Scientist,1,Bangalore,67226,93829,89075,68929,Junior,1-6
464,CENTURYLINK,Data Scientist,1,Bangalore,139992,93836,89076,68971,Mid,7-14
465,Educational Initiatives,Data Scientist,1,Bangalore,130781,93824,89073,68929,Mid,7-14
466,RS Software,Data Scientist,1,Bangalore,62110,93815,89071,68882,Junior,1-6
467,Happiest Minds Technologies,Data Scientist,1,Bangalore,78254,93823,89073,68929,Junior,1-6
468,Hdfc,Data Scientist,1,Bangalore,49774,93827,89073,68882,Junior,1-6
469,HDFC Standard Life,Data Scientist,1,Bangalore,82958,93838,89075,68929,Junior,1-6
470,HP Inc.,Data Scientist,1,Bangalore,60000,93841,89075,68882,Junior,1-6
471,AgEye Technologies,Data Scientist,1,Bangalore,51849,93850,89077,68929,Junior,1-6
472,Ivanti,Data Scientist,1,Bangalore,128464,93861,89079,68971,Mid,7-14
473,Digital Trainee,Data Scientist,1,Bangalore,203401,93852,89077,68929,Mid,7-14
474,Datafoundry,Data Scientist,1,Bangalore,115848,93823,89071,68882,Mid,7-14
475,Enterprise Bot,Data Scientist,1,Bangalore,130636,93818,89070,68834,Mid,7-14
476,Navriti Technologies,Data Scientist,1,Bangalore,47000,93808,89067,68829,Junior,1-6
477,Accenture,Data Scientist,1,Bangalore,50455,93820,89070,68834,Junior,1-6
478,Artefact,Data Scientist,1,Bangalore,103178,93831,89072,68882,Mid,7-14
479,Toptal,Data Scientist,1,Bangalore,72000,93829,89071,68834,Junior,1-6
480,Altisource,Data Scientist,1,Bangalore,132125,93835,89072,68829,Mid,7-14
481,XYX (UK),Data Scientist,1,Bangalore,80000,93825,89069,68823,Junior,1-6
482,Atlassian,Data Scientist,1,Bangalore,220000,93828,89070,68774,Mid,7-14
483,SunEdison,Data Scientist,1,Bangalore,163716,93796,89063,68725,Mid,7-14
484,Fellowship.AI,Data Scientist,1,Bangalore,311517,93778,89059,68723,Mid,15-25
485,Sonasoft,Data Scientist,1,Bangalore,134808,93721,89048,68721,Mid,7-14
486,Manthan Studio,Data Scientist,1,Bangalore,105153,93710,89045,68625,Mid,7-14
487,INEOS,Data Scientist,1,Bangalore,40000,93707,89044,68528,Junior,1-6
488,Trell,Data Scientist,1,Bangalore,192696,93721,89047,68625,Mid,7-14
489,Equifax,Data Scientist,1,Bangalore,103178,93696,89042,68528,Mid,7-14
490,HP Inc.,Data Scientist,1,Bangalore,616491,93693,89041,68515,Senior,15-25
491,Maybank,Data Scientist,1,Bangalore,149028,93557,89013,68501,Mid,7-14
492,Accenture,Data Scientist,1,Bangalore,102771,93543,89010,68497,Mid,7-14
493,Data Sutram,Data Scientist,1,Bangalore,58879,93541,89009,68493,Junior,1-6
494,Tableau Software,Data Scientist,1,Bangalore,107053,93550,89011,68497,Mid,7-14
495,ABC Consultants,Data Scientist,1,Bangalore,428214,93546,89010,68493,Senior,15-25
496,Abbott,Data Scientist,1,Bangalore,112474,93459,88992,68442,Mid,7-14
497,Innoviti,Data Scientist,1,Bangalore,45500,93454,88990,68391,Junior,1-6
498,QUILT.AI,Data Scientist,1,Bangalore,138135,93466,88993,68442,Mid,7-14
499,Firstsource Solutions,Data Scientist,1,Bangalore,153483,93455,88990,68391,Mid,7-14
500,dhiOmics Analytics Solutions,Data Scientist,1,Bangalore,32879,93439,88987,68380,Junior,1-6
501,Genpact,Data Scientist,1,Bangalore,74662,93455,88990,68391,Junior,1-6
502,Crediwatch,Data Scientist,1,Bangalore,40032,93460,88991,68380,Junior,1-6
503,Inspirisys Solutions Limited,Data Scientist,1,Bangalore,51936,93474,88993,68391,Junior,1-6
504,Maybank,Data Scientist,1,Bangalore,67927,93485,88995,68442,Junior,1-6
505,Infosys,Data Scientist,1,Bangalore,30097,93491,88996,68493,Junior,1-6
506,Saman Mohit,Data Scientist,1,Bangalore,61906,93508,89000,68497,Junior,1-6
507,KibbCom,Data Scientist,1,Bangalore,42000,93516,89001,68501,Junior,1-6
508,Proven Consult,Data Scientist,1,Bangalore,77264,93530,89004,68515,Junior,1-6
509,Fragma Data Systems,Data Scientist,1,Bangalore,50163,93534,89004,68501,Junior,1-6
510,Bounce,Data Scientist,1,Bangalore,39369,93545,89006,68515,Junior,1-6
511,Accenture,Data Scientist,1,Bangalore,55962,93559,89009,68528,Junior,1-6
512,Litmus World,Data Scientist,1,Bangalore,123839,93569,89011,68625,Mid,7-14
513,GyanSys,Data Scientist,1,Bangalore,182516,93561,89009,68528,Mid,7-14
514,Goldman Sachs,Data Scientist,1,Bangalore,350000,93538,89004,68515,Mid,15-25
515,Boston Consulting Group,Data Scientist,1,Bangalore,87260,93471,88989,68501,Junior,1-6
516,NaviRisk Consulting,Data Scientist,1,Bangalore,58015,93473,88989,68497,Junior,1-6
517,GoodWorkLabs Services,Data Scientist,1,Bangalore,112406,93482,88991,68501,Mid,7-14
518,Tech Systems,Data Scientist,1,Bangalore,97523,93477,88990,68497,Junior,1-6
519,LendingKart,Data Scientist,1,Bangalore,115000,93476,88989,68493,Mid,7-14
520,BioXcel Corporation,Data Scientist,1,Bangalore,72711,93470,88988,68442,Junior,1-6
521,SellerApp,Data Scientist,1,Bangalore,51161,93476,88989,68391,Junior,1-6
522,SAP,Data Scientist,1,Bangalore,120000,93487,88991,68442,Mid,7-14
523,K-Arogia Advisory Services,Data Scientist,1,Bangalore,31346,93480,88989,68391,Junior,1-6
524,Group IMD,Data Scientist,1,Bangalore,122136,93496,88992,68442,Mid,7-14
525,Accenture,Data Scientist,1,Bangalore,52116,93488,88991,68391,Junior,1-6
526,Lumen,Data Scientist,1,Bangalore,290355,93499,88993,68442,Mid,7-14
527,Autodesk,Data Scientist,1,Bangalore,186800,93448,88981,68391,Mid,7-14
528,St. Johnâ€™s Research Institute,Data Scientist,1,Bangalore,60000,93423,88976,68380,Junior,1-6
529,Sravathi Advance Process Technologies,Data Scientist,1,Bangalore,36501,93432,88977,68391,Junior,1-6
530,Shssns,Data Scientist,1,Bangalore,50244,93447,88980,68442,Junior,1-6
531,CSS Corporation,Data Scientist,1,Bangalore,170991,93458,88983,68493,Mid,7-14
532,Pegasystems,Data Scientist,1,Bangalore,119803,93438,88978,68442,Mid,7-14
533,Flutura,Data Scientist,1,Bangalore,110378,93431,88976,68391,Mid,7-14
534,Tata Elxsi,Data Scientist,1,Bangalore,95063,93427,88975,68380,Junior,1-6
535,Gainsight,Data Scientist,1,Bangalore,130000,93426,88974,68369,Mid,7-14
536,Credit Saison India,Data Scientist,1,Bangalore,233214,93416,88972,68367,Mid,7-14
537,Sourav Besra,Data Scientist,1,Bangalore,32000,93380,88964,68364,Junior,1-6
538,HDFC ERGO Health Insurance,Data Scientist,1,Bangalore,50000,93396,88967,68367,Junior,1-6
539,Voice Data Solutions,Data Scientist,1,Bangalore,204645,93407,88969,68369,Mid,7-14
540,AXA GO Business Operations,Data Scientist,1,Bangalore,147734,93378,88963,68367,Mid,7-14
541,CSC,Data Scientist,1,Bangalore,104359,93364,88959,68364,Mid,7-14
542,Ugam,Data Scientist,1,Bangalore,214107,93361,88958,68345,Mid,7-14
543,BigHaat,Data Scientist,1,Bangalore,38058,93329,88951,68325,Junior,1-6
544,SKF,Data Scientist,1,Bangalore,82958,93344,88954,68345,Junior,1-6
545,Rubixe,Data Scientist,1,Bangalore,42000,93346,88954,68325,Junior,1-6
546,Silicon Valley Bank,Data Scientist,1,Bangalore,32604,93360,88957,68345,Junior,1-6
547,NNT Corp.,Data Scientist,1,Bangalore,170000,93376,88960,68364,Mid,7-14
548,Congregation Brit Shalom,Data Scientist,1,Bangalore,61906,93356,88956,68345,Junior,1-6
549,Prometheus Group,Data Scientist,1,Bangalore,200000,93364,88957,68364,Mid,7-14
550,Accenture,Data Scientist,1,Bangalore,122557,93336,88951,68345,Mid,7-14
551,LinkedIn,Data Scientist,1,Bangalore,65954,93328,88949,68325,Junior,1-6
552,Datalicious,Data Scientist,1,Bangalore,162120,93335,88950,68345,Mid,7-14
553,Quinbay,Data Scientist,1,Bangalore,30419,93317,88946,68325,Junior,1-6
554,Bajaj Finance,Data Scientist,1,Bangalore,163716,93334,88949,68345,Mid,7-14
555,VINAYA KUMAR,Data Scientist,1,Bangalore,80000,93315,88945,68325,Junior,1-6
556,Real Time Signals,Data Scientist,1,Bangalore,34464,93319,88945,68308,Junior,1-6
557,Zealeers Technologies,Data Scientist,1,Bangalore,96348,93334,88948,68325,Junior,1-6
558,Alliance Data,Data Scientist,1,Bangalore,42367,93333,88948,68308,Junior,1-6
559,Lava International,Data Scientist,1,Bangalore,64172,93347,88951,68325,Junior,1-6
560,Impact Analytics,Data Scientist,1,Bangalore,30794,93355,88952,68345,Junior,1-6
561,NetApp,Data Scientist,1,Bangalore,100000,93371,88956,68364,Mid,7-14
562,Anheuser-Busch InBev,Data Scientist,1,Bangalore,112474,93369,88955,68345,Mid,7-14
